#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321B219AA
#Date Time: 2023-11-07 13:09:51.231
#Sample rate: 7.69231e+06Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 1 V/div Offset: 0 V Attenuation: 1 X Sample Mode: Average
#Channel 2: Range: 1 V/div Offset: 1 V Attenuation: 1 X Shift: 81.92 us Sample Mode: Average

Time (s),Channel 1 (V),Channel 2 (V)
-0.00053248,-0.03936335963945577,-0.05663722585830732
-0.00053235,-0.04303934885291835,-0.06033031610424081
-0.00053222,-0.03936335963945577,-0.06345523862003055
-0.00053209,-0.0356873704259932,-0.06288707088988849
-0.0005319600000000001,-0.0356873704259932,-0.06033031610423913
-0.0005318300000000001,-0.0393633596394541,-0.06288707088988849
-0.0005317,-0.04303934885291835,-0.06033031610424081
-0.00053157,-0.04303934885291835,-0.06345523862003055
-0.00053144,-0.04303934885291835,-0.0640234063501743
-0.00053131,-0.04671533806638092,-0.06714832886596404
-0.00053118,-0.04671533806638092,-0.06601199340567991
-0.00053105,-0.04671533806638092,-0.059193980643955
-0.00053092,-0.05406731649330606,-0.05663722585830564
-0.0005307900000000001,-0.04671533806638426,-0.05976214837409707
-0.0005306600000000001,-0.04671533806638092,-0.05976214837409707
-0.00053053,-0.04671533806638092,-0.05919398064395332
-0.0005304,-0.04671533806638092,-0.05606905812816357
-0.00053027,-0.04303934885291835,-0.05606905812816357
-0.00053014,-0.04303934885291835,-0.05550089039802151
-0.00053001,-0.04671533806638092,-0.05351230334251422
-0.00052988,-0.05039132727984349,-0.05862581291381294
-0.0005297500000000001,-0.04671533806638259,-0.05351230334251422
-0.0005296200000000001,-0.04671533806638092,-0.059193980643955
-0.00052949,-0.05039132727984349,-0.05720539358845106
-0.00052936,-0.05039132727984683,-0.06288707088988681
-0.00052923,-0.05774330570676863,0.1044383256374447
-0.0005291,1.482496174734049,1.35639591900894
-0.00052897,3.287406878544171,3.277939182354554
-0.00052884,3.298434846184559,3.294700130393796
-0.0005287100000000001,3.298434846184559,3.302086310885663
-0.0005285800000000001,3.309462813824942,3.30947249137753
-0.00052845,3.320490781465334,3.3168586718694
-0.00052832,3.320490781465334,3.323108516900979
-0.00052819,3.320490781465334,3.323108516900979
-0.00052806,3.320490781465334,3.323108516900979
-0.00052793,3.320490781465334,3.323108516900979
-0.0005278,3.331518749105722,3.323108516900979
-0.00052767,3.324166770678797,3.323108516900979
-0.0005275400000000001,3.331518749105718,3.323108516900979
-0.00052741,3.331518749105722,3.322540349170835
-0.00052728,3.331518749105722,3.320551762115333
-0.00052715,3.331518749105722,3.326233439416769
-0.00052702,3.331518749105722,3.323676684631123
-0.00052689,3.327842759892259,3.325665271686629
-0.00052676,3.331518749105722,3.319415426655046
-0.00052663,3.331518749105722,3.319983594385188
-0.0005265000000000001,3.327842759892261,3.321404013710553
-0.0005263700000000001,3.327842759892259,3.311461078433036
-0.00052624,3.331518749105722,3.308336155917246
-0.00052611,3.331518749105718,3.308336155917246
-0.00052598,3.324166770678797,3.309472491377533
-0.00052585,3.327842759892259,3.315154168678968
-0.00052572,3.327842759892259,3.312029246163179
-0.00052559,3.327842759892259,3.312029246163179
-0.0005254600000000001,3.33151874910572,3.312597413893321
-0.0005253300000000001,3.327842759892261,3.315722336409112
-0.0005252,3.320490781465332,3.315722336409112
