#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321B219AA
#Date Time: 2023-11-07 13:14:03.280
#Sample rate: 8000Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 1 V/div Offset: 0 V Attenuation: 1 X Sample Mode: Average
#Channel 2: Range: 1 V/div Offset: 500 mV Attenuation: 1 X Shift: 83.88608 ms Sample Mode: Average

Time (s),Channel 1 (V),Channel 2 (V)
-0.512,3.298434846184559,3.286177614441645
-0.511875,3.298434846184559,3.286177614441645
-0.51175,3.298434846184559,3.286177614441645
-0.511625,3.298434846184559,3.286177614441645
-0.5115,3.298434846184559,3.286177614441645
-0.511375,3.298434846184559,3.286177614441645
-0.51125,3.298434846184559,3.286177614441645
-0.5111250000000001,3.298434846184559,3.286177614441645
-0.511,3.298434846184559,3.286177614441645
-0.510875,3.298434846184559,3.286177614441645
-0.51075,3.298434846184559,3.286177614441645
-0.510625,3.298434846184559,3.286177614441645
-0.5105,3.298434846184559,3.286177614441645
-0.510375,3.298434846184559,3.286177614441645
-0.51025,3.298434846184559,3.286177614441645
-0.5101250000000001,3.298434846184559,3.286177614441645
-0.51,3.298434846184559,3.286177614441645
-0.509875,3.298434846184559,3.286177614441645
-0.50975,3.298434846184559,3.286177614441645
-0.509625,3.298434846184559,3.286177614441645
-0.5095,3.298434846184559,3.286177614441645
-0.509375,3.298434846184559,3.286177614441645
-0.50925,3.298434846184559,3.286177614441645
-0.509125,3.298434846184559,3.286177614441645
-0.509,3.298434846184559,3.286177614441645
-0.508875,3.298434846184559,3.286177614441645
-0.50875,3.298434846184559,3.286177614441645
-0.508625,3.298434846184559,3.067176771963494
-0.5085,0.5598228821546841,0.7411905370081115
-0.508375,-0.009955445931755206,-0.02283124591476217
-0.50825,-0.009955445931755206,-0.02250389039536284
-0.508125,-0.009955445931755206,-0.01946551118822633
-0.508,-0.01363143514521778,-0.02250389039536284
-0.507875,-0.01363143514521778,-0.01946551118822801
-0.50775,-0.01363143514521778,-0.02250389039536452
-0.507625,-0.009955445931755206,-0.01946551118822801
-0.5075,-0.009955445931755206,-0.02283124591476217
-0.507375,-0.009955445931755206,-0.02283124591476217
-0.50725,-0.009955445931755206,-0.02283124591476217
-0.507125,-0.009955445931755206,-0.02283124591476217
-0.507,-0.01363143514521778,-0.02283124591476217
-0.506875,-0.009955445931755206,-0.02283124591476217
-0.50675,-0.009955445931755206,-0.02283124591476217
-0.506625,-0.009955445931755206,-0.02283124591476217
-0.5065,-0.009955445931756879,-0.02283124591476217
-0.506375,-0.01363143514521778,-0.02283124591476217
-0.50625,-0.01363143514521778,-0.02283124591476217
-0.506125,-0.009955445931756879,-0.02283124591476217
-0.506,-0.009955445931755206,0.2046808400677704
-0.505875,2.824232237648104,2.609664934408278
-0.50575,3.302110835397804,3.286177614441645
-0.505625,3.298434846184559,3.286177614441645
-0.5054999999999999,3.298434846184559,3.286177614441645
-0.505375,3.298434846184559,3.286177614441645
-0.50525,3.298434846184559,3.286177614441645
-0.505125,3.298434846184559,3.286177614441645
-0.505,3.298434846184559,3.286177614441645
-0.504875,3.298434846184559,3.286177614441645
-0.50475,3.298434846184559,3.286177614441645
-0.504625,3.302110835398021,3.286177614441645
-0.5044999999999999,3.298434846184559,3.286177614441645
-0.504375,3.298434846184559,3.286177614441645
-0.50425,3.298434846184559,3.286177614441645
-0.504125,3.298434846184559,3.286177614441645
-0.504,3.298434846184559,3.286177614441645
-0.503875,3.298434846184559,3.286177614441645
-0.50375,3.298434846184559,3.286177614441645
-0.503625,3.298434846184559,3.286177614441645
-0.5034999999999999,3.298434846184559,3.286177614441645
-0.503375,3.298434846184559,3.05015428495594
-0.50325,0.3686714430548896,0.5661723312287162
-0.503125,-0.01363143514504389,-0.02283124591476217
-0.503,-0.009955445931755206,-0.02283124591476217
-0.502875,-0.009955445931755206,-0.02283124591476217
-0.50275,-0.009955445931755206,-0.02283124591476217
-0.502625,-0.009955445931755206,-0.02283124591476217
-0.5024999999999999,-0.01363143514521611,-0.02283124591476217
-0.502375,-0.009955445931755206,-0.02283124591476217
-0.50225,-0.009955445931755206,-0.02283124591476217
-0.502125,-0.009955445931755206,-0.02283124591476217
-0.502,-0.009955445931755206,-0.02250389039536284
-0.501875,-0.01363143514521778,-0.01946551118822801
-0.50175,-0.01363143514521778,-0.02283124591476217
-0.501625,-0.01363143514521778,-0.02283124591476217
-0.5014999999999999,-0.009955445931755206,-0.02283124591476217
-0.501375,-0.009955445931755206,-0.02283124591476217
-0.50125,-0.01363143514521778,-0.02283124591476217
-0.501125,-0.01363143514521778,-0.02283124591476217
-0.501,-0.009955445931755206,-0.02283124591476217
-0.500875,-0.009955445931755206,-0.02250389039536284
-0.50075,-0.009955445931755206,0.2250690618018167
-0.500625,3.015383676747941,2.784683140188054
-0.5004999999999999,3.298434846184559,3.286177614441645
-0.500375,3.298434846184559,3.286177614441645
-0.50025,3.298434846184559,3.286177614441645
-0.500125,3.298434846184559,3.286177614441645
-0.5,3.298434846184559,3.286177614441645
-0.499875,3.298434846184559,3.286177614441645
-0.49975,3.298434846184559,3.286177614441645
-0.499625,3.298434846184559,3.286177614441645
-0.4995,3.298434846184559,3.286177614441645
-0.499375,3.298434846184559,3.286177614441645
-0.49925,3.298434846184559,3.286177614441645
-0.499125,3.298434846184559,3.286177614441645
-0.499,3.298434846184559,3.286177614441645
-0.498875,3.298434846184559,3.286177614441645
